observability_id,parameter,value,baseline_value,repeat_index,scenario_label,parameter_drift,successful_transitions,replay_equivalent,runtime_event_count,final_activation,state_consistency,timestamp,observations
phase_i:4:preserve_evidence:false,preserve_evidence,False,True,4,repeat_4,1.0,1,True,1,0.1,1.0,2026-07-14T16:31:23.462500+00:00,"['preserve_evidence=False', 'transition_success=True', 'evidence_record_count=0', 'audit_completeness_score=0.0']"
phase_i:4:archive_relations:false,archive_relations,False,True,4,repeat_4,1.0,1,True,1,0.1,1.0,2026-07-14T16:31:23.462717+00:00,"['archive_relations=False', 'transition_success=True', 'archive_refs=0', 'conflict_verification_status=partial', 'state_transition_equivalence=True']"
phase_i:4:archive_relations:true,archive_relations,True,True,4,repeat_4,0.0,1,True,1,0.1,1.0,2026-07-14T16:31:23.462928+00:00,"['archive_relations=True', 'transition_success=True', 'archive_refs=2', 'conflict_verification_status=verified', 'state_transition_equivalence=True']"
phase_i:5:activation_threshold:0.1,activation_threshold,0.1,0.2,5,repeat_5,0.1,1,True,1,0.4,1.0,2026-07-14T16:31:23.463090+00:00,"['activation_threshold=0.1', 'transition_success=True', 'final_activation=0.4']"
phase_i:5:activation_threshold:0.15,activation_threshold,0.15,0.2,5,repeat_5,0.05000000000000002,1,True,1,0.4,1.0,2026-07-14T16:31:23.463127+00:00,"['activation_threshold=0.15', 'transition_success=True', 'final_activation=0.4']"
phase_i:5:activation_threshold:0.2,activation_threshold,0.2,0.2,5,repeat_5,0.0,1,True,1,0.4,1.0,2026-07-14T16:31:23.463160+00:00,"['activation_threshold=0.2', 'transition_success=True', 'final_activation=0.4']"
phase_i:5:activation_threshold:0.25,activation_threshold,0.25,0.2,5,repeat_5,0.04999999999999999,1,True,1,0.4,1.0,2026-07-14T16:31:23.463192+00:00,"['activation_threshold=0.25', 'transition_success=True', 'final_activation=0.4']"
phase_i:5:activation_threshold:0.3,activation_threshold,0.3,0.2,5,repeat_5,0.09999999999999998,1,True,1,0.4,1.0,2026-07-14T16:31:23.463224+00:00,"['activation_threshold=0.3', 'transition_success=True', 'final_activation=0.4']"
phase_i:5:activation_threshold:0.35,activation_threshold,0.35,0.2,5,repeat_5,0.14999999999999997,1,True,1,0.4,1.0,2026-07-14T16:31:23.463255+00:00,"['activation_threshold=0.35', 'transition_success=True', 'final_activation=0.4']"
phase_i:5:activation_threshold:0.4,activation_threshold,0.4,0.2,5,repeat_5,0.2,1,True,1,0.4,1.0,2026-07-14T16:31:23.463287+00:00,"['activation_threshold=0.4', 'transition_success=True', 'final_activation=0.4']"
phase_i:5:activation_threshold:0.45,activation_threshold,0.45,0.2,5,repeat_5,0.25,1,True,1,0.45,1.0,2026-07-14T16:31:23.463318+00:00,"['activation_threshold=0.45', 'transition_success=True', 'final_activation=0.45']"
